Type,SAC,MET, Description,Keyword
Water Activities,18229,11,"Stand up Paddleboard, standing, 50-69 strokes/min",Surfing
Water Activities,18230,10,"Swimming laps, freestyle, fast, vigorous effort",Swimming
Water Activities,18240,6,"Swimming laps, freestyle, slow, recreational",Swimming
Water Activities,18250,10,"Swimming, backstroke, training or competition",Swimming
Water Activities,18255,5,"Swimming, backstroke, recreational",Swimming
Water Activities,18260,10,"Swimming, breaststroke, general, training or  competition",Swimming
Water Activities,18265,5,"Swimming breaststroke, recreational",Swimming
Water Activities,18270,14,"Swimming, butterfly, general",Swimming
Water Activities,18280,11,"Swimming, crawl, fast speed, ~75 yards/minute,  vigorous effort",Swimming
Water Activities,18285,11,"Swimming, open water, 5k",Swimming
Water Activities,18290,8,"Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort ",Swimming
Water Activities,18292,6,"Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort ",Swimming
Water Activities,18294,15,"Swimming, crawl, elite swimmers, competition, >90 yards/minute",Swimming
Water Activities,18300,6,"Swimming, lake, ocean, river (Taylor Codes 280,  295)",Swimming
Water Activities,18310,6,"Swimming, leisurely, not lap swimming, general",Swimming
Water Activities,18320,7,"Swimming, sidestroke, general",Swimming
Water Activities,18330,8,"Swimming, synchronized",Swimming
Water Activities,18340,10,"Swimming, treading water, fast, vigorous effort",Swimming
Water Activities,18350,4,"Swimming, treading water, moderate effort,  general",Swimming
Water Activities,18352,2,"Tubing, floating on a river, general",Sports
Water Activities,18355,6,"Water aerobics, water calisthenics, general",Aerobics
Water Activities,18356,4,"Water aerobics, resistance exercises",Aerobics
Water Activities,18358,8,"Water aerobics, high intensity",Aerobics
Water Activities,18360,10,Water polo,Sports
Water Activities,18365,3,Water volleyball,Sports
Water Activities,18366,10,"Water jogging, vigorous effort",Water-Running
Water Activities,18367,3,"Water walking, light effort, slow pace",Water-Running
Water Activities,18368,5,"Water walking, moderate effort, moderate pace",Water-Running
Water Activities,18369,7,"Water walking, vigorous effort, brisk pace",Water-Running
Water Activities,18370,5,"Whitewater rafting, kayaking, or canoeing",Water-Running
Water Activities,18374,7,"Water running, 30 steps/min, slow",Water-Running
Water Activities,18375,8,"Water running, 40 steps/min, moderate",Water-Running
Water Activities,18376,9,"Water running, 50 steps/min, fast",Water-Running
Water Activities,18377,10,"Water running, 60 steps/min, very fast",Water-Running
Water Activities,18380,5,"Windsurfing, not pumping for speed",Surfing
Water Activities,18385,11,"Windsurfing or kitesurfing, crossing trial",Surfing
Water Activities,18390,14,"Windsurfing, competition, pumping for speed",Surfing
Water Activities,18404,3,"Aquatic cycling, 25 W, 40-50 RPM",Aquatic-Cycling
Water Activities,18408,5,"Aquatic cycling, 25 W, 60-70 RPM",Aquatic-Cycling
Water Activities,18412,4,"Aquatic cycling, 50 W, 40-50 RPM",Aquatic-Cycling
Water Activities,18416,6,"Aquatic cycling,  50 W, 60-70 RPM",Aquatic-Cycling
Water Activities,18420,5,"Aquatic cycling, 75 W, 40-50 RPM",Aquatic-Cycling
Water Activities,18424,6,"Aquatic cycling, 75 W, 60-70 RPM",Aquatic-Cycling
Water Activities,18428,6,"Aquatic cycling, 100 W, 40-50 RPM",Aquatic-Cycling
Water Activities,18432,8,"Aquatic cycling, 100 W, 60-70 RPM",Aquatic-Cycling
Water Activities,18436,9,"Aquatic cycling, 80-89 RPM",Aquatic-Cycling
Water Activities,18440,10,"Aquatic cycling, 90+ RPM",Aquatic-Cycling
Winter Activities,19005,8,"Dog sledding, mushing",Sledding
Winter Activities,19006,3,"Dog sledding, passenger",Sledding
Winter Activities,19010,6,"Moving icehouse, set up/drill holes",Ice-Fishing
Winter Activities,19011,2,Ice fishing,Ice-Fishing
Winter Activities,19018,14,"Skating, ice dancing",Skating
Winter Activities,19020,6,"Skating, ice, 9 mph or less",Skating
Winter Activities,19030,7,"Skating, ice, general (Taylor Code 360)",Skating
Winter Activities,19040,9,"Skating, ice, rapidly, more than 9 mph but not competitive",Skating
Winter Activities,19045,9,"Skating Treadmill, 6 – 6,9 mph, 2% grade",Skating
Winter Activities,19046,10,"Skating Treadmill, 7 – 7,9 mph, 2% grade",Skating
Winter Activities,19047,11,"Skating Treadmill, 8 – 8,9 mph, 2% grade",Skating
Winter Activities,19048,11,"Skating Treadmill, 9 – 9,9 mph, 2% grade",Skating
Winter Activities,19050,14,"Skating, speed, competitive",Skating
Winter Activities,19060,7,"Ski jumping, climb up carrying skis",Ski
Winter Activities,19075,7,"Skiing, general",Ski
Winter Activities,19080,7,"Skiing, cross country, 2,5 mph, slow or light effort, ski walking",Ski
Winter Activities,19090,9,"Skiing, cross country, 4,0-4,9 mph, moderate speed and effort, general",Ski
Winter Activities,19100,11,"Skiing, cross country, 5,0-7,9 mph, brisk speed, vigorous effort",Ski
Winter Activities,19110,14,"Skiing, cross country, elite skier, >8,0-11,9 mph, racing",Ski
Winter Activities,19112,16,"Skiing, cross country, 12-16 mph, elite skier, racing",Ski
Winter Activities,19115,10,"Skiing, cross-country skiing high-intensity training",Ski
Winter Activities,19130,16,"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering",Ski
Winter Activities,19135,13,"Skiing, cross-country, skating",Ski
Winter Activities,19140,14,"Skiing, cross-country, biathlon, skating technique",Ski
Winter Activities,19142,13,"Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle",Biathlon
Winter Activities,19144,13,"Biathlon training, 5 degree incline, 10,7 km/h (5 mph), with/without rifle",Biathlon
Winter Activities,19146,9,"Skiing, slalom",Ski
Winter Activities,19150,4,"Skiing, downhill, alpine or snowboarding, light effort, active time only",Ski
Winter Activities,19160,6,"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",Ski
Winter Activities,19170,8,"Skiing, downhill, alpine or snowboarding, vigorous effort, active time only",Ski
Winter Activities,19174,7,"Skiing, Alpine skiing high-intensity training",Ski
Winter Activities,19180,7,"Sledding, tobogganing, bobsledding, luge (Taylor Code 370)",Sledding
Winter Activities,19190,5,"Snow shoeing, moderate effort",Snow-Shoeing
Winter Activities,19192,10,"Snow shoeing, vigorous effort",Snow-Shoeing
Winter Activities,19200,4,"Snowmobiling, driving, moderate pace, flat land",Snowmobile
Winter Activities,19201,8,"snowboarding, recreational, moderate pace, mountain",Snowmobile
Winter Activities,19202,2,"Snowmobiling, passenger, light",Snowmobile
Winter Activities,19252,5,"Snow shoveling, by hand, moderate effort",Shoveling
Winter Activities,19254,8,"Snow shoveling, by hand, vigorous effort",Shoveling
Winter Activities,19260,3,"Snow blower, walking and pushing",Shoveling
Winter Activities,19300,13,"Skiing, roller, elite racers",Ski
Winter Activities,19305,6,"Rollerskiing, 10 – 12,9 km/h, no incline",Ski
Winter Activities,19310,7,"Rollerskiing, 13 – 16,9 km/h, no incline",Ski
Winter Activities,19315,8,"Rollerskiing, 17 – 19,9 km/h, no incline",Ski
Winter Activities,19320,11,"Rollerskiing, 20 – 23,9 km/h, no incline",Ski
Winter Activities,19325,15,"Rollerskiing, 24 – 27,9 km/h, no incline",Ski
Winter Activities,19330,13,"Rollerskiing, 10-15 km/h, 2-5 degree incline",Ski
Winter Activities,19335,14,"Rollerskiing, 16-22 km/h, 2-5 degree incline",Ski
Winter Activities,19340,12,"Rollerskiing, 6-9 km/h, 6-10 degree incline",Ski
Winter Activities,19345,16,"Rollerskiing, >10 km/h, 6-10 degree incline",Ski
Winter Activities,19400,9,"Mountaineering, downhill climbing, walking down with rope",Mountaineering
Winter Activities,19405,10,"Mountaineering, downhill climbing/cross-country skiing",Mountaineering
